tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude
52611,848,W 63RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,10,7900,LAUREL ST,MARPOLE,EVEN,2,4,Y,1993-11-08,-123.125841,49.213619
35334,1308,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,6,1300,W 37TH AV,SHAUGHNESSY,EVEN,3,6,Y,1992-01-17,-123.134996,49.237842
81916,2130,HARRISON DRIVE,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,2100,HARRISON DRIVE,VICTORIA-FRASERVIEW,EVEN,2,4,Y,1996-11-29,-123.062648,49.209217
78865,4980,GLADSTONE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,4900,GLADSTONE ST,KENSINGTON-CEDAR COTTAGE,EVEN,2,6,Y,1996-11-14,-123.062809,49.239308
79062,3232,E 19TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,3200,E 19TH AV,RENFREW-COLLINGWOOD,EVEN,1,3,Y,2007-01-24,-123.035642,49.253111
79366,3238,E 19TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,3200,E 19TH AV,RENFREW-COLLINGWOOD,EVEN,1,3,Y,2007-01-24,-123.035538,49.253111
128873,1600,E 8TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,1600,E 8TH AV,GRANDVIEW-WOODLAND,EVEN,1,3,N,2014-12-18,-123.071738,49.263203
128971,1068,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,6,1000,W 37TH AV,SHAUGHNESSY,EVEN,3,4.5,Y,2001-02-16,-123.129376,49.23765
128974,1042,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,6,1000,W 37TH AV,SHAUGHNESSY,EVEN,3,8.5,Y,1992-01-20,-123.129214,49.237644
129004,1408,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,1400,W 37TH AV,SHAUGHNESSY,EVEN,1,8,Y,1992-01-18,-123.137283,49.237919
129005,1408,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,1400,W 37TH AV,SHAUGHNESSY,EVEN,1,7,Y,1992-01-18,-123.137448,49.237925
129013,1178,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,1100,W 37TH AV,SHAUGHNESSY,EVEN,3,8,Y,1992-01-20,-123.131856,49.237736
130586,1568,E 8TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,1500,E 8TH AV,GRANDVIEW-WOODLAND,EVEN,1,3,N,2014-12-18,-123.072029,49.263206
131781,1363,E 13TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1300,E 13TH AV,KENSINGTON-CEDAR COTTAGE,ODD,2,3.5,Y,1993-10-29,-123.076171,49.258756
132068,7357,VIVIAN DRIVE,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,7300,VIVIAN DRIVE,VICTORIA-FRASERVIEW,ODD,2,4,Y,1994-02-17,-123.050646,49.217486
132078,816,E 30TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,800,E 30TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,2,8,Y,1998-02-20,-123.087516,49.243222
132103,2100,TRIMBLE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,6,2100,TRIMBLE ST,WEST POINT GREY,EVEN,1,3,Y,2013-02-05,-123.20584,49.2676
133213,2323,CAROLINA ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,2300,CAROLINA ST,MOUNT PLEASANT,ODD,3,7,Y,1992-11-10,-123.09111300000001,49.263992
133267,570,E 8TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,2400,CAROLINA ST,MOUNT PLEASANT,ODD,2,5,Y,1992-11-12,-123.091121,49.263292
134342,1311,E 63RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,6,1300,E 63RD AV,SUNSET,ODD,3,5,Y,1992-12-22,-123.079495,49.212922
134461,4594,W 11TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,12,4500,W 11TH AV,WEST POINT GREY,EVEN,2,3,Y,1998-04-22,NA,NA
135540,3350,W 35TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,10,3300,W 35TH AV,DUNBAR-SOUTHLANDS,EVEN,1,3,Y,2013-01-02,-123.17956,49.2404
135596,4905,MARGUERITE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,1800,W 33RD AV,SHAUGHNESSY,EVEN,1,8,Y,1993-03-02,NA,NA
135597,4905,MARGUERITE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,1800,W 33RD AV,SHAUGHNESSY,EVEN,1,7,Y,1993-03-02,NA,NA
135878,4220,JOHN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,4200,JOHN ST,RILEY PARK,EVEN,1,4,Y,1993-03-17,-123.097203,49.247314
135911,387,E 28TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,4300,JOHN ST,RILEY PARK,EVEN,1,6,Y,1993-03-12,-123.097282,49.245889
135966,2241,FRANKLIN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,7,2200,FRANKLIN ST,GRANDVIEW-WOODLAND,ODD,3,3,Y,1993-03-01,-123.05837,49.282133
135977,4596,PRINCE ALBERT ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,4596,E 30TH AV,KENSINGTON-CEDAR COTTAGE,ODD,2,6.75,Y,1993-03-02,NA,NA
135986,4908,MARGUERITE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1600,W 33RD AV,SHAUGHNESSY,EVEN,1,7,N,1993-02-03,-123.143427,49.241864
136007,866,E 30TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,800,E 30TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,3,4.5,Y,1993-03-03,NA,NA
136026,1590,W 33RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1500,W 33RD AV,SHAUGHNESSY,EVEN,3,3,Y,1993-03-03,-123.141916,49.241844
136028,1520,W 33RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1500,W 33RD AV,SHAUGHNESSY,EVEN,1,5,Y,1993-03-03,-123.14014,49.241817
136049,2320,FRANKLIN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2300,FRANKLIN ST,GRANDVIEW-WOODLAND,EVEN,3,4.25,Y,1993-02-26,-123.057136,49.282025
136053,2320,FRANKLIN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2300,FRANKLIN ST,GRANDVIEW-WOODLAND,ODD,3,4.25,Y,1993-02-26,-123.057269,49.282025
136054,2320,FRANKLIN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2300,FRANKLIN ST,GRANDVIEW-WOODLAND,EVEN,3,4,Y,1993-02-26,NA,NA
136082,4468,JOHN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,2,4400,JOHN ST,RILEY PARK,EVEN,1,7,Y,1993-03-11,-123.097332,49.244756
136083,4462,JOHN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,2,4400,JOHN ST,RILEY PARK,EVEN,2,7,Y,1993-03-11,-123.097333,49.244875
136088,4432,JOHN ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,2,4400,JOHN ST,RILEY PARK,EVEN,2,8,Y,1993-03-11,-123.097312,49.245233
110817,9002,SHAUGHNESSY ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,5,9000,SHAUGHNESSY ST,MARPOLE,ODD,2,2,N,NA,NA,NA
111157,7250,HUMM ST,STYRAX,JAPONICA,SNOWCONE,SNOWCONE JAPANESE SNOWBELL,N,N,P,7200,HUMM ST,VICTORIA-FRASERVIEW,PARK,1,3,Y,2018-03-09,NA,NA
118009,3254,W 23RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,3200,W 23RD AV,DUNBAR-SOUTHLANDS,EVEN,1,3,Y,2012-12-13,-123.17726,49.25188
120331,5051,WINDSOR ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,3,5000,WINDSOR ST,KENSINGTON-CEDAR COTTAGE,ODD,2,3,Y,1993-12-15,NA,NA
126724,1402,MCRAE AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1400,MCRAE AV,SHAUGHNESSY,EVEN,2,3,Y,1996-12-18,-123.136145,49.256397
126813,795,W 64TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,10,8000,HEATHER ST,MARPOLE,EVEN,2,3,Y,1998-04-08,NA,NA
126915,494,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,400,W 37TH AV,RILEY PARK,EVEN,2,3,Y,1997-01-20,-123.11527,49.237153
228920,3001,LAUREL ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,3000,LAUREL ST,FAIRVIEW,ODD,1,4.5,N,2010-12-20,-123.124504,49.258506
229117,1842,STEPHENS ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,10,1800,STEPHENS ST,KITSILANO,MED,1,3,Y,2010-10-13,-123.166334,49.269229
229466,1396,E 62ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,1300,E 62ND AV,SUNSET,EVEN,1,1.5,Y,2011-03-24,-123.07754,49.213708
229633,1615,VINE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,B,1600,VINE ST,KITSILANO,ODD,1,3,Y,2012-02-19,-123.157474,49.271581
229703,2062,FERNDALE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,7,2000,FERNDALE ST,GRANDVIEW-WOODLAND,EVEN,1,4.5,Y,2011-02-08,-123.062461,49.279617
229807,2701,KASLO ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,3,2700,KASLO ST,RENFREW-COLLINGWOOD,ODD,1,4,Y,2011-03-25,-123.047114,49.260186
229808,2701,KASLO ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,3,2700,KASLO ST,RENFREW-COLLINGWOOD,ODD,1,4,Y,2011-03-25,-123.047112,49.259967
